WL,PC1,PC2,PC3,PC4,sum,,,,,,,,,
,,,,,,,,,21.30924406,,,,,17456
640,0,0,0,0,0,,,,-13.36283456,,,,,5437
641,2.57458E-06,-7.25761E-06,-1.5796E-06,2.79945E-06,0.000158869,,,,2.401501511,,,,,20318
642,1.52019E-05,-4.24508E-05,-8.89407E-06,1.6655E-05,0.000934206,,,,3.864406262,,,,,29046
643,4.52157E-05,-0.000124563,-3.38685E-05,4.04329E-05,0.002702937,,,,,,,,,
644,0.000147066,-0.000404622,-0.000115141,0.000139479,0.008803264,,,,,,,,,
645,0.000301897,-0.000831237,-0.000237486,0.00029827,0.018123194,,,,,,,,,
646,0.000513564,-0.001415563,-0.000404012,0.000528183,0.030930475,,,,,,,,,
647,0.00077625,-0.002141849,-0.000611094,0.000829672,0.04690111,,,,,,,,,
648,0.001094789,-0.00302257,-0.000866648,0.001206602,0.066300775,,,,,,,,,
649,0.001466567,-0.004051757,-0.001164275,0.001661545,0.089019263,,,,,,,,,
650,0.001889716,-0.005223288,-0.001507459,0.00219116,0.114913718,,,,,,,,,
651,0.002384858,-0.006490177,-0.001575802,0.00288503,0.14491131,,,,,,,,,
652,0.002937095,-0.007914032,-0.001688168,0.003668036,0.178461832,,,,,,,,,
653,0.003523087,-0.009530584,-0.002134888,0.004463643,0.214552324,,,,,,,,,
654,0.00415878,-0.011311847,-0.002721491,0.005325244,0.253822046,,,,,,,,,
655,0.004842422,-0.01321466,-0.003317409,0.006288387,0.296107781,,,,,,,,,
656,0.005575637,-0.015247368,-0.003947392,0.007359141,0.341519694,,,,,,,,,
657,0.006291632,-0.017192217,-0.004449966,0.008486469,0.385915231,,,,,,,,,
658,0.006990162,-0.01906885,-0.004924674,0.009639132,0.42919187,,,,,,,,,
659,0.007747641,-0.02109751,-0.00545776,0.010925483,0.476132598,,,,,,,,,
660,0.008739106,-0.023776483,-0.00626223,0.012584609,0.537538236,,,,,,,,,
661,0.009784088,-0.026582466,-0.007129668,0.014385803,0.602179296,,,,,,,,,
662,0.010611338,-0.028754633,-0.007768296,0.015942408,0.653315359,,,,,,,,,
663,0.011827642,-0.031958084,-0.008724362,0.018111225,0.72812625,,,,,,,,,
664,0.013322275,-0.035865732,-0.009849967,0.020764866,0.819744631,,,,,,,,,
665,0.01474863,-0.039555152,-0.010881657,0.02337519,0.907050019,,,,,,,,,
666,0.016621772,-0.044450091,-0.012395384,0.026690722,1.021552869,,,,,,,,,
667,0.018272775,-0.048714813,-0.013711845,0.029672776,1.122085648,,,,,,,,,
668,0.020175833,-0.053655807,-0.015252598,0.033074143,1.238108207,,,,,,,,,
669,0.022504142,-0.059753279,-0.017176443,0.037196959,1.380514353,,,,,,,,,
670,0.025213023,-0.06688978,-0.019506115,0.041919832,1.546258815,,,,,,,,,
671,0.027827094,-0.073801436,-0.021805177,0.046479707,1.706422016,,,,,,,,,
672,0.030838672,-0.08179444,-0.024341673,0.051769285,1.891755332,,,,,,,,,
673,0.035048557,-0.09297041,-0.027784936,0.059043807,2.150650153,,,,,,,,,
674,0.038233901,-0.101243882,-0.029654049,0.064752473,2.346656387,,,,,,,,,
675,0.042302852,-0.111936148,-0.032174726,0.071997834,2.598187239,,,,,,,,,
676,0.046329757,-0.122601689,-0.034720508,0.079103359,2.847864338,,,,,,,,,
677,0.049931169,-0.131977011,-0.036085628,0.085599844,3.071715315,,,,,,,,,
678,0.056951059,-0.150603815,-0.039986758,0.097934473,3.508508205,,,,,,,,,
679,0.060108236,-0.158612654,-0.039330689,0.10380363,3.707062396,,,,,,,,,
680,0.064520077,-0.170145483,-0.039248106,0.111737256,3.986043777,,,,,,,,,
681,0.067296886,-0.177240411,-0.036970303,0.116682181,4.164603165,,,,,,,,,
682,0.069756598,-0.183446406,-0.033403639,0.120803981,4.324441117,,,,,,,,,
683,0.0715443,-0.187767518,-0.028065174,0.123494711,4.443496396,,,,,,,,,
684,0.072837068,-0.190647594,-0.02139516,0.124592327,4.529789963,,,,,,,,,
685,0.073341425,-0.191203596,-0.013272606,0.12351314,4.563303114,,,,,,,,,
686,0.072860837,-0.188907179,-0.003954398,0.119827778,4.530511463,,,,,,,,,
687,0.071377862,-0.183723566,0.005563786,0.11315311,4.426706928,,,,,,,,,
688,0.068339214,-0.173886735,0.015634267,0.102972234,4.215348919,,,,,,,,,
689,0.066937074,-0.168237963,0.024474946,0.093989749,4.096505711,,,,,,,,,
690,0.065452026,-0.161794193,0.032919654,0.083535613,3.958634371,,,,,,,,,
691,0.063802201,-0.154649978,0.040003561,0.07172977,3.799400326,,,,,,,,,
692,0.061880911,-0.146363091,0.046066371,0.058882694,3.612636317,,,,,,,,,
693,0.060622215,-0.139525735,0.050913907,0.046163935,3.456938913,,,,,,,,,
694,0.059608179,-0.133071076,0.054156423,0.033091733,3.306348635,,,,,,,,,
695,0.058529976,-0.126060925,0.056582876,0.0199706,3.144819199,,,,,,,,,
696,0.058598979,-0.121620383,0.057928631,0.007127975,3.040554084,,,,,,,,,
697,0.059602219,-0.11897893,0.058732546,-0.005773607,2.978708725,,,,,,,,,
