DOYdayfrac;UTC_datetime;filenum;SIF_FARRED_max;SIF_FARRED_max_wvl;SIF_RED_max;SIF_RED_max_wvl;SIF_O2B;SIF_O2A;SIF_int;SIF_O2B_un;SIF_O2A_un
164.3276;13-Jun-2025 07:51:48;1;1.489;742.1137;1.1226;689.8437;0.98365;0.893741;101.56111;0.022348;0.071153
164.3302;13-Jun-2025 07:55:28;2;1.73592;742.1137;1.1412;689.8437;1.0435;1.04373;106.31876;0.018156;0.075881
164.3307;13-Jun-2025 07:56:12;3;1.9751;751.0806;0.86394;689.8437;0.77674;1.60507;108.05788;0.018227;0.1064
164.3312;13-Jun-2025 07:56:56;4;1.89657;743.8528;1.2048;689.8437;1.0086;1.15852;107.46704;0.021023;0.075834
164.3316;13-Jun-2025 07:57:31;5;1.89478;744.4841;1.1782;689.8437;1.0747;1.18129;112.43281;0.017557;0.076352
164.3321;13-Jun-2025 07:58:12;6;1.89731;744.6419;1.1374;689.8437;1.0381;1.21468;113.86581;0.018581;0.078985
164.3325;13-Jun-2025 07:58:48;7;1.96749;744.7996;1.1354;689.8437;1.0131;1.24843;113.47664;0.018613;0.079249
164.3329;13-Jun-2025 07:59:24;8;1.87882;744.3263;1.1326;689.8437;0.98354;1.2184;112.01867;0.020152;0.080227
164.3333;13-Jun-2025 08:00:01;9;1.86385;744.6419;0.99172;689.8437;0.91548;1.17326;104.94062;0.016903;0.078018
164.3338;13-Jun-2025 08:00:38;10;1.9463;744.9573;1.1067;689.8437;0.99109;1.28477;114.3991;NaN;NaN
164.3342;13-Jun-2025 08:01:14;11;1.97622;743.8528;1.0852;689.8437;0.93024;1.30439;117.3086;0.023187;0.082221
164.3346;13-Jun-2025 08:01:51;12;1.88588;744.6419;1.1806;689.8437;1.0527;1.26496;119.84947;0.02359;0.084348
164.3361;13-Jun-2025 08:03:57;13;1.15018;744.3263;1.1556;689.8437;1.0134;0.701141;81.770608;NaN;NaN
164.3365;13-Jun-2025 08:04:33;14;1.19949;744.3263;1.1338;689.8437;1.0152;0.812746;89.102695;0.021077;0.078228
164.3369;13-Jun-2025 08:05:12;15;1.23577;744.1685;1.0193;689.8437;0.92219;0.826672;85.981054;0.019495;0.076766
164.3374;13-Jun-2025 08:05:51;16;1.15751;744.6419;1.1422;689.8437;0.99122;0.76004;84.196342;0.019799;0.075569
164.3378;13-Jun-2025 08:06:27;17;1.14957;743.5369;1.015;689.8437;0.92852;0.756584;86.84125;0.02243;0.076947
164.3378;13-Jun-2025 08:06:27;18;1.13124;744.1685;1.1244;689.8437;1.0011;0.770484;88.602837;0.022553;0.08022
164.3387;13-Jun-2025 08:07:42;19;1.14687;744.1685;1.2941;689.8437;1.1101;0.821514;93.133047;0.027012;0.085765
164.3391;13-Jun-2025 08:08:19;20;1.09945;744.4841;1.0871;689.8437;0.9867;0.793585;89.641852;NaN;NaN
164.3395;13-Jun-2025 08:08:56;21;1.13998;743.6948;1.1737;689.8437;1.0099;0.802483;89.763728;NaN;NaN
164.34;13-Jun-2025 08:09:33;22;1.15006;743.6948;1.2918;689.8437;1.1189;0.836385;95.764535;0.02958;0.089518
164.3415;13-Jun-2025 08:11:49;23;1.22981;743.2209;1.2037;689.8437;1.0882;0.877502;99.924089;0.030045;0.090618
164.3425;13-Jun-2025 08:13:12;24;1.2885;743.5369;1.1996;689.8437;1.022;0.926908;98.107248;0.030688;0.092433
164.3425;13-Jun-2025 08:13:12;25;1.21745;741.9554;1.1552;689.8437;1.0328;0.862208;97.572001;NaN;NaN
164.3435;13-Jun-2025 08:14:39;26;1.19497;742.9047;1.393;689.8437;1.1525;0.879152;101.11102;0.036476;0.097783
164.344;13-Jun-2025 08:15:19;27;1.16842;741.7971;1.1549;689.8437;1.0442;0.834712;96.572708;0.035406;0.096026
164.3444;13-Jun-2025 08:15:57;28;1.24445;740.5292;1.4916;689.8437;1.2495;0.893343;109.58554;0.047101;0.097709
164.3448;13-Jun-2025 08:16:34;29;1.24606;739.5768;1.3402;689.8437;1.1863;0.868346;106.99534;0.043621;0.095278
164.3453;13-Jun-2025 08:17:11;30;1.25995;741.0049;1.1737;689.8437;1.0849;0.877712;103.8723;NaN;NaN
164.3457;13-Jun-2025 08:17:49;31;1.21849;743.5369;1.3536;689.8437;1.1472;0.911126;100.86817;0.035578;0.10072
164.3483;13-Jun-2025 08:21:37;32;1.49651;741.6387;1.2383;689.8437;1.097;1.1159;115.91057;0.042745;0.10604
164.3489;13-Jun-2025 08:22:22;33;1.45193;741.7971;1.3755;689.8437;1.1497;1.08641;114.45381;NaN;NaN
164.3493;13-Jun-2025 08:23:01;34;1.42687;742.7466;1.3513;689.8437;1.1101;1.0917;110.51138;NaN;NaN
164.3497;13-Jun-2025 08:23:37;35;1.5071;742.1137;1.4721;689.8437;1.1956;1.14781;119.54531;0.048594;0.1092
164.3502;13-Jun-2025 08:24:13;36;1.4697;742.7466;1.4229;689.8437;1.0473;1.13461;112.15973;0.05065;0.11014
164.3506;13-Jun-2025 08:24:48;37;1.52606;742.4302;1.2227;689.8437;1.0632;1.14514;112.71928;0.038801;0.10598
164.351;13-Jun-2025 08:25:26;38;1.54777;742.7466;1.4085;689.8437;1.165;1.18463;118.64916;NaN;NaN
164.3514;13-Jun-2025 08:26:02;39;1.45191;743.0628;1.6366;689.8437;1.2222;1.13257;116.69497;0.052953;0.11254
164.3527;13-Jun-2025 08:27:49;40;1.76591;741.7971;1.2647;689.8437;1.0512;1.32423;128.08448;0.043115;0.098012
164.3531;13-Jun-2025 08:28:24;41;1.74899;738.9412;1.3955;689.8437;1.1757;1.2567;135.50785;0.050535;0.096059
164.3535;13-Jun-2025 08:29:06;42;1.73107;740.5292;1.2886;689.8437;1.0768;1.27264;129.42066;0.045608;0.097597
164.354;13-Jun-2025 08:29:43;43;1.75335;741.1634;1.1256;689.8437;0.94609;1.28993;123.73926;0.04107;0.096264
164.3544;13-Jun-2025 08:30:19;44;1.75599;740.3705;1.2239;689.8437;0.99379;1.29196;129.10067;0.046943;0.098212
164.3548;13-Jun-2025 08:30:56;45;1.84404;740.8464;1.1198;689.8437;0.97266;1.34711;131.07065;0.04364;0.09637
164.3552;13-Jun-2025 08:31:32;46;1.77823;740.5292;1.2045;689.8437;1.0327;1.27751;129.28492;NaN;NaN
164.3557;13-Jun-2025 08:32:09;47;1.74955;741.0049;1.1234;689.8437;0.94356;1.29815;124.70569;0.041951;0.098857
164.3561;13-Jun-2025 08:32:47;48;1.71174;741.1634;1.2129;689.8437;0.99895;1.27005;124.76621;0.044104;0.099122
164.3565;13-Jun-2025 08:33:24;49;1.84027;740.3705;1.2508;689.8437;1.0079;1.32442;132.45006;0.046036;0.095025
164.357;13-Jun-2025 08:34:02;50;1.83497;740.5292;1.0909;689.8437;0.96086;1.33153;129.28485;NaN;NaN
164.3581;13-Jun-2025 08:35:36;51;1.50687;740.5292;0.92406;689.8437;0.77069;1.0629;101.72598;0.03423;0.091747
164.3585;13-Jun-2025 08:36:13;52;1.46816;741.1634;0.94466;689.8437;0.76726;1.04132;97.009604;NaN;NaN
164.3589;13-Jun-2025 08:36:49;53;1.48112;741.0049;0.95017;689.8437;0.77891;1.01877;97.866223;0.030573;0.088216
164.3593;13-Jun-2025 08:37:26;54;1.52559;741.6387;0.7879;689.8437;0.68692;1.03282;95.406814;0.025933;0.085904
164.3597;13-Jun-2025 08:38:02;55;1.46792;742.1137;0.82227;689.8437;0.72767;1.01042;91.14232;0.023358;0.08748
164.3604;13-Jun-2025 08:38:59;56;1.52421;742.272;0.89806;689.8437;0.78966;1.0411;95.24989;0.024119;0.086927
164.3608;13-Jun-2025 08:39:35;57;1.53157;742.1137;1.1142;689.8437;0.84819;1.07129;97.680681;NaN;NaN
164.3612;13-Jun-2025 08:40:12;58;1.53452;741.9554;0.8367;689.8437;0.74476;1.01552;93.600257;NaN;NaN
164.3617;13-Jun-2025 08:40:48;59;1.4373;740.6878;1.0549;689.8437;0.82465;0.930951;90.744291;0.027576;0.082476
