time,APARchl,APARchl_unc
15-Jun-2025 08:08:38, 428.37,   1.02
15-Jun-2025 08:09:14, 428.22,   1.02
15-Jun-2025 08:09:41, 427.92,   1.02
15-Jun-2025 08:10:12, 429.52,   1.03
15-Jun-2025 08:14:37, 443.92,   1.06
15-Jun-2025 08:15:06, 444.03,   1.06
15-Jun-2025 08:15:32, 443.94,   1.06
15-Jun-2025 08:15:58, 444.22,   1.06
15-Jun-2025 08:16:24, 445.67,   1.06
15-Jun-2025 08:18:37, 442.55,   1.06
15-Jun-2025 08:19:04, 443.64,   1.06
15-Jun-2025 08:19:30, 444.10,   1.06
15-Jun-2025 08:19:56, 444.59,   1.06
15-Jun-2025 08:21:46, 447.21,   1.07
15-Jun-2025 08:22:12, 448.61,   1.07
15-Jun-2025 08:22:43, 449.75,   1.07
15-Jun-2025 08:23:13, 450.90,   1.07
15-Jun-2025 08:26:31, 453.74,   1.08
15-Jun-2025 08:27:16, 454.15,   1.08
15-Jun-2025 08:27:47, 454.18,   1.08
15-Jun-2025 08:28:14, 455.04,   1.08
15-Jun-2025 08:32:26, 465.76,   1.11
15-Jun-2025 08:32:53, 466.75,   1.11
15-Jun-2025 08:33:20, 467.21,   1.11
15-Jun-2025 08:33:46, 468.11,   1.11
15-Jun-2025 08:34:11, 469.20,   1.12
15-Jun-2025 08:35:55, 471.61,   1.12
15-Jun-2025 08:36:21, 468.36,   1.11
15-Jun-2025 08:36:50, 469.36,   1.12
15-Jun-2025 08:38:49, 477.01,   1.13
15-Jun-2025 08:39:15, 477.07,   1.13
15-Jun-2025 08:39:45, 478.07,   1.14
15-Jun-2025 08:40:17, 478.34,   1.14
15-Jun-2025 12:39:18, 552.65,   1.30
15-Jun-2025 12:39:47, 552.55,   1.30
15-Jun-2025 12:40:16, 553.12,   1.30
15-Jun-2025 12:41:07, 553.26,   1.31
15-Jun-2025 12:41:39, 554.23,   1.31
15-Jun-2025 12:42:02, 555.03,   1.31
15-Jun-2025 12:42:28, 554.72,   1.31
15-Jun-2025 12:42:58, 554.36,   1.31
15-Jun-2025 12:43:23, 555.05,   1.31
15-Jun-2025 12:43:49, 554.42,   1.31
15-Jun-2025 12:44:27, 555.59,   1.31
15-Jun-2025 12:44:52, 556.40,   1.31
15-Jun-2025 12:45:21, 555.80,   1.31
15-Jun-2025 12:45:45, 555.03,   1.31
15-Jun-2025 12:46:16, 558.26,   1.32
15-Jun-2025 12:46:40, 558.82,   1.32
15-Jun-2025 12:47:05, 557.67,   1.32
15-Jun-2025 12:47:29, 556.97,   1.31
15-Jun-2025 12:47:53, 555.78,   1.31
15-Jun-2025 12:48:17, 555.45,   1.31
15-Jun-2025 12:48:42, 557.03,   1.31
15-Jun-2025 12:49:08, 556.10,   1.31
15-Jun-2025 12:50:02, 554.91,   1.31
15-Jun-2025 12:50:51, 555.44,   1.31
15-Jun-2025 12:51:15, 556.70,   1.31
15-Jun-2025 12:51:39, 555.21,   1.31
15-Jun-2025 12:52:03, 554.48,   1.31
15-Jun-2025 12:52:29, 555.46,   1.31
15-Jun-2025 12:52:53, 556.06,   1.31
15-Jun-2025 12:53:18, 555.66,   1.31
15-Jun-2025 12:53:43, 555.71,   1.31
15-Jun-2025 12:54:07, 556.45,   1.31
15-Jun-2025 12:54:32, 557.96,   1.32
15-Jun-2025 12:54:56, 558.97,   1.32
15-Jun-2025 12:55:20, 560.41,   1.32
15-Jun-2025 12:55:45, 563.20,   1.33
15-Jun-2025 12:56:09, 564.66,   1.33
15-Jun-2025 12:56:34, 564.00,   1.33
