time,sza,fAPAR,fAPAR_unc,fAPARchl,fAPARchl_unc,fSunlit,fSunlit_unc,fSunlit_aPARchl,fSunlit_aPARchl_unc
15-Jun-2025 08:08:38,43.1479,0.7939,0.0329,0.6943,0.0219,0.5535,0.0203,0.8288,0.0105
15-Jun-2025 08:47:45,37.2190,0.7679,0.0329,0.6711,0.0219,0.5957,0.0203,0.8373,0.0105
15-Jun-2025 09:26:53,35.3681,0.7601,0.0329,0.6641,0.0219,0.6076,0.0203,0.8397,0.0105
15-Jun-2025 10:06:00,33.5171,0.7523,0.0329,0.6573,0.0219,0.6188,0.0203,0.8420,0.0105
15-Jun-2025 10:45:08,31.6661,0.7452,0.0329,0.6509,0.0219,0.6295,0.0203,0.8443,0.0105
15-Jun-2025 11:24:15,29.8152,0.7383,0.0329,0.6447,0.0219,0.6398,0.0203,0.8465,0.0105
15-Jun-2025 12:03:23,27.9642,0.7317,0.0329,0.6388,0.0219,0.6495,0.0203,0.8487,0.0105
15-Jun-2025 12:42:30,26.7043,0.7272,0.0329,0.6348,0.0219,0.6558,0.0203,0.8500,0.0105
15-Jun-2025 13:21:38,32.6484,0.7489,0.0329,0.6542,0.0219,0.6239,0.0203,0.8430,0.0105
15-Jun-2025 14:00:45,39.2863,0.7767,0.0329,0.6790,0.0219,0.5816,0.0203,0.8344,0.0105
15-Jun-2025 14:39:53,46.2657,0.8076,0.0329,0.7066,0.0219,0.5291,0.0203,0.8239,0.0105
